date,Name,uint32__upTime
2024-02-16 12:53:57.283885,OBC_0,62.0
2024-02-16 12:53:57.700327,OBC_0,62.0
2024-02-16 12:53:58.133516,OBC_0,62.0
2024-02-16 12:53:58.606467,OBC_0,62.0
2024-02-16 12:54:26.862879,OBC_0,92.0
2024-02-16 12:54:27.288837,OBC_0,92.0
2024-02-16 12:54:27.695920,OBC_0,92.0
2024-02-16 12:54:28.107269,OBC_0,92.0
2024-02-16 12:54:28.512329,OBC_0,92.0
2024-02-16 12:54:37.319850,OBC_0,122.0
2024-02-16 12:54:37.740474,OBC_0,122.0
2024-02-16 12:54:38.138142,OBC_0,122.0
2024-02-16 12:54:38.599805,OBC_0,122.0
2024-02-16 12:54:39.005259,OBC_0,122.0
2024-02-16 12:55:24.734065,OBC_0,62.0
2024-02-16 12:55:27.233699,OBC_0,122.0
2024-02-16 12:55:30.493204,OBC_0,32.0
2024-02-16 12:55:35.122209,OBC_0,152.0
2024-02-16 12:55:35.550991,OBC_0,152.0
2024-02-16 12:56:24.760799,OBC_0,62.0
2024-02-16 12:56:25.275360,OBC_0,62.0
2024-02-16 12:56:25.740701,OBC_0,62.0
2024-02-16 12:57:30.948040,OBC_0,92.0
2024-02-16 12:57:31.344109,OBC_0,92.0
2024-02-16 12:57:31.745998,OBC_0,92.0
2024-02-16 12:57:32.155867,OBC_0,92.0
2024-02-16 12:57:35.993458,OBC_0,32.0
2024-02-16 12:57:36.412576,OBC_0,32.0
2024-02-16 12:57:36.863414,OBC_0,32.0
2024-02-16 12:57:37.276535,OBC_0,32.0
2024-02-16 12:57:39.486867,OBC_0,62.0
2024-02-16 12:57:39.897773,OBC_0,62.0
2024-02-16 12:57:40.389656,OBC_0,62.0
2024-02-16 12:57:40.809988,OBC_0,62.0
2024-02-16 12:57:49.154417,OBC_0,92.0
2024-02-16 12:57:49.558044,OBC_0,92.0
2024-02-16 12:57:49.975718,OBC_0,92.0
2024-02-16 12:57:50.412252,OBC_0,92.0
2024-02-16 12:57:54.357257,OBC_0,32.0
2024-02-16 12:57:54.776397,OBC_0,32.0
2024-02-16 12:57:55.182336,OBC_0,32.0
2024-02-16 12:57:55.594218,OBC_0,32.0
2024-02-16 12:58:06.368693,OBC_0,182.0
2024-02-16 12:58:06.817799,OBC_0,182.0
2024-02-16 12:58:07.227829,OBC_0,182.0
2024-02-16 12:58:07.637965,OBC_0,182.0
2024-02-16 12:58:08.056016,OBC_0,212.0
2024-02-16 12:58:08.461457,OBC_0,212.0
2024-02-16 12:58:08.871391,OBC_0,212.0
2024-02-16 12:58:09.359311,OBC_0,212.0
2024-02-16 12:58:14.178356,OBC_0,242.0
2024-02-16 12:58:14.637040,OBC_0,242.0
2024-02-16 12:58:15.045450,OBC_0,242.0
2024-02-16 12:58:15.446670,OBC_0,242.0
2024-02-16 12:58:19.371377,OBC_0,272.0
2024-02-16 12:58:19.817700,OBC_0,272.0
2024-02-16 12:58:20.229231,OBC_0,272.0
2024-02-16 12:58:20.656175,OBC_0,272.0
2024-02-16 13:00:00.449393,OBC_0,32.0
2024-02-16 13:00:00.875792,OBC_0,32.0
2024-02-16 13:00:01.303383,OBC_0,32.0
2024-02-16 13:00:01.771686,OBC_0,32.0
2024-02-16 13:00:02.198563,OBC_0,32.0
2024-02-16 13:00:02.633938,OBC_0,32.0
2024-02-16 13:00:03.056807,OBC_0,32.0
2024-02-16 13:00:14.159335,OBC_0,32.0
2024-02-16 13:00:14.569296,OBC_0,32.0
2024-02-16 13:00:14.973277,OBC_0,32.0
2024-02-16 13:00:15.370219,OBC_0,32.0
2024-02-16 13:00:15.797077,OBC_0,32.0
2024-02-16 13:00:16.250123,OBC_0,32.0
2024-02-16 13:00:32.613457,OBC_0,32.0
2024-02-16 13:00:33.076748,OBC_0,32.0
2024-02-16 13:00:33.516094,OBC_0,32.0
2024-02-16 13:00:33.957245,OBC_0,32.0
2024-02-16 13:00:34.382133,OBC_0,32.0
2024-02-16 13:00:34.790484,OBC_0,32.0
2024-02-16 13:00:35.202507,OBC_0,32.0
2024-02-16 13:00:41.654947,OBC_0,62.0
2024-02-16 13:00:42.106984,OBC_0,62.0
2024-02-16 13:00:42.535954,OBC_0,62.0
2024-02-16 13:00:42.968382,OBC_0,62.0
2024-02-16 13:00:43.385472,OBC_0,62.0
2024-02-16 13:00:43.801212,OBC_0,62.0
2024-02-16 13:00:44.258294,OBC_0,62.0
